id,rating,pop,desc,director,writer,star
413,5.4|15K,,The Crypt Keeper returns to tell the story of a funeral parlor that moonlights as a vampire bordello.,Gilbert Adler,William M. Gaines|Bob Gale|Robert Zemeckis,Dennis Miller|Erika Eleniak|Angie Everhart
414,7.3|10K,,"An aging, dissolute matinee idol is slated to appear on a live TV variety show in 1954, and a young comedy writer is tasked with the thankless job of keeping him ready and sober for the broadcast.",Richard Benjamin,Norman Steinberg|Dennis Palumbo,Peter O'Toole|Mark Linn-Baker|Jessica Harper
415,6.4|6.1K,,Three orphan children strike gold in 1878 California.,Norman Tokar,Don Tait|Jack M. Bickham,Bill Bixby|Susan Clark|Don Knotts
416,7.2|14K,,"A teenage boy grows to love a stray yellow dog while helping his mother and younger brother run their Texas homestead while their father is away on a cattle drive. First thought to be good-for-nothing mutt, Old Yeller is soon beloved by all.",Robert Stevenson,Fred Gipson|William Tunberg,Dorothy McGuire|Fess Parker|Tommy Kirk
417,7.2|23K,"3,425|down|236",Teenage twin sisters swap places and scheme to reunite their divorced parents.,David Swift,Erich Kästner|David Swift,Hayley Mills|Maureen O'Hara|Brian Keith
418,7.3|165K,"3,472|up|779","When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother.",Clyde Geronimi|Wilfred Jackson|Hamilton Luske,Charles Perrault|Bill Peet|Erdman Penner,Ilene Woods|James MacDonald|Eleanor Audley
419,7.8|178K,"1,318|up|97","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",Robert Stevenson,Bill Walsh|Don DaGradi|P.L. Travers,Julie Andrews|Dick Van Dyke|David Tomlinson
420,7.3|146K,"3,182|up|306",Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,Clyde Geronimi|Wilfred Jackson|Hamilton Luske,Lewis Carroll|Winston Hibler|Ted Sears,Kathryn Beaumont|Ed Wynn|Richard Haydn
421,6.7|235K,597|up|50,Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.,Baz Luhrmann,William Shakespeare|Craig Pearce|Baz Luhrmann,Leonardo DiCaprio|Claire Danes|John Leguizamo
422,6.3|37K,,"The King of Thieves disrupts Aladdin and Jasmine's long-anticipated wedding, looking for an oracle that will lead him to an even bigger treasure. His true identity causes trouble for Aladdin.",Tad Stones,Mark McCorkle|Bob Schooley|Ron Clements,Scott Weinger|Robin Williams|John Rhys-Davies
423,7.9|419K,523|up|104,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,Steven Spielberg,Melissa Mathison,Henry Thomas|Drew Barrymore|Peter Coyote
424,4.2|5K,,"All the kids in a town over night become feverish and have convulsions. The next day they start to become evil, change their names for those of kids killed long ago, and then start killing any adult in their path, in vicious and mysterious forms. A young woman who has just returned to town tries to find out what is happening, while trying to protect her transformed yo...",Greg Spence,Stephen King|Stephen Berger|Greg Spence,Naomi Watts|Jamie Renée Smith|Karen Black
425,7.0|15K,,"A conservative folk singer turns his hand to politics, running for the US Senate. He is not above dirty tricks and smear campaigns to gain an advantage over his opponent.",Tim Robbins,Tim Robbins,Tim Robbins|Giancarlo Esposito|Alan Rickman
426,7.2|41K,,"The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",Nelson Shin,Ron Friedman|Henry Orenstein,Orson Welles|Robert Stack|Leonard Nimoy
427,8.3|321K,"1,775|down|502","Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.",Robert Mulligan,Harper Lee|Horton Foote,Gregory Peck|John Megna|Frank Overton
428,7.9|79K,"4,529|down|492","Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",Hal Ashby,Colin Higgins,Ruth Gordon|Bud Cort|Vivian Pickles
429,7.8|83K,"3,264|up|2,112","An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.",Robert Wise,Edmund H. North|Harry Bates,Michael Rennie|Patricia Neal|Hugh Marlowe
430,7.8|61K,,"Rufus T. Firefly is named the dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of his wealthy backer Mrs. Teasdale, contending with two inept spies who can't seem to keep straight which side they're on.",Leo McCarey,Bert Kalmar|Harry Ruby|Arthur Sheekman,Groucho Marx|Harpo Marx|Chico Marx
