id,rating,pop,desc,director,writer,star
122,6.1|170K,"3,997|down|1,399",A designer makes a grievious mistake when he rejects the friendship of a borderline cable guy.,Ben Stiller,Lou Holtz Jr.,Jim Carrey|Matthew Broderick|Leslie Mann
123,7.1|91K,"3,216|down|24","After a tragic car accident that kills his wife, a man discovers he can communicate with the dead, and he uses that gift to con people. However, when a demonic spirit appears, he may be the only one who can stop it from killing the living and the dead.",Peter Jackson,Fran Walsh|Peter Jackson,Michael J. Fox|Trini Alvarado|Peter Dobson
124,7.4|31K,,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",John Sayles,John Sayles,Chris Cooper|Elizabeth Peña|Stephen Mendillo
125,6.4|81K,"3,880|up|1,933","An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",Jon Turteltaub,Gerald Di Pego,John Travolta|Kyra Sedgwick|Forest Whitaker
126,7.0|7K,,"Oscar-winner Ellen Burstyn (The Exorcist) headlines this critically praised drama about a young woman, just out of prison, who finds spiritual redemption working at a cafe in Maine.",Lee David Zlotoff,Lee David Zlotoff,Alison Elliott|Ellen Burstyn|Marcia Gay Harden
127,9.2|1.9M,69|up|5,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,Francis Ford Coppola,Mario Puzo|Francis Ford Coppola,Marlon Brando|Al Pacino|James Caan
128,6.9|23K,,A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.,Stanley Tong,Edward Tang|Fibe Ma|Lee Wai Yee,Jackie Chan|Michelle Yeoh|Maggie Cheung
129,7.3|58K,"2,122|down|586",Tough ex-con Corky and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.,Lana Wachowski|Lilly Wachowski,Lilly Wachowski|Lana Wachowski,Jennifer Tilly|Gina Gershon|Joe Pantoliano
130,6.3|5.1K,,A pair of kidnappings expose the complex power dynamics within the corrupt and unpredictable workings of 1930s Kansas City.,Robert Altman,Robert Altman|Frank Barhydt,Jennifer Jason Leigh|Miranda Richardson|Harry Belafonte
131,7.6|185K,"2,268|down|140","A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",Blake Edwards,Truman Capote|George Axelrod,Audrey Hepburn|George Peppard|Patricia Neal
132,8.1|408K,594|down|124,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",Victor Fleming|George Cukor|Mervyn LeRoy,Noel Langley|Florence Ryerson|Edgar Allan Woolf,Judy Garland|Frank Morgan|Ray Bolger
133,8.2|321K,"1,094|down|267",American motion picture classic in which a manipulative woman and a roguish man conduct a turbulent romance during the Civil War and Reconstruction periods.,Victor Fleming|George Cukor|Sam Wood,Margaret Mitchell|Sidney Howard|Oliver H.P. Garrett,Clark Gable|Vivien Leigh|Thomas Mitchell
134,8.3|449K,"1,353|up|96","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Orson Welles,Herman J. Mankiewicz|Orson Welles|John Houseman,Orson Welles|Joseph Cotten|Dorothy Comingore
135,8.3|682K,340|down|68,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",Stanley Kubrick,Stanley Kubrick|Arthur C. Clarke,Keir Dullea|Gary Lockwood|William Sylvester
136,8.1|117K,,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Frank Capra,Sidney Buchman|Lewis R. Foster|Myles Connolly,James Stewart|Jean Arthur|Claude Rains
137,7.3|22K,"4,941|down|1,382","New Jersey, 1950s. Two brothers run an Italian restaurant. Business is not going well as a rival Italian restaurant is out-competing them. In a final effort to save the restaurant, the brothers plan to put on an evening of incredible food.",Campbell Scott|Stanley Tucci,Stanley Tucci|Joseph Tropiano,Tony Shalhoub|Stanley Tucci|Marc Anthony
138,5.4|28K,,"The unruly team of hockey misfits grows up a bit and receives scholarships to a prestigious prep school, where they take on the snotty varsity team.",Robert Lieberman,Steven Brill|Kenneth Johnson|Jim Burnstein,Emilio Estevez|Jeffrey Nordling|David Selby
139,6.5|17K,,"Down-on-his-luck race car driver Jim Douglas teams up with a little VW Bug that has a mind of it's own, not realizing Herbie's worth until a sneaky rival plots to steal him.",Robert Stevenson,Bill Walsh|Don DaGradi|Gordon Buford,Dean Jones|Michele Lee|David Tomlinson
140,6.9|49K,"2,107|down|837","A fun-loving American bulldog pup, a hilarious Himalayan cat, and a wise old golden retriever embark on a long trek through the rugged wilderness of the Sierra Nevada mountains in a quest to reach home and their beloved owners.",Duwayne Dunham,Sheila Burnford|Caroline Thompson|Linda Woolverton,Michael J. Fox|Sally Field|Don Alder
141,7.2|35K,"4,876|up|499","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",Richard Fleischer,Earl Felton|Jules Verne,Kirk Douglas|James Mason|Paul Lukas
142,7.0|39K,"4,888|up|282","An apprentice witch, three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in World War II.",Robert Stevenson|Ward Kimball,Ralph Wright|Ted Berman|Bill Walsh,Angela Lansbury|David Tomlinson|Roddy McDowall
143,8.1|243K,160|up|533,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Robert Wise,Georg Hurdalek|Howard Lindsay|Russel Crouse,Julie Andrews|Christopher Plummer|Eleanor Parker
144,8.2|898K,961|down|54,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,Roderick Thorp|Jeb Stuart|Steven E. de Souza,Bruce Willis|Alan Rickman|Bonnie Bedelia
145,5.4|37K,"4,334|down|437",A simple man is turned into a genius through the application of computer science.,Brett Leonard,Stephen King|Brett Leonard|Gimel Everett,Jeff Fahey|Pierce Brosnan|Jenny Wright
146,6.5|2.3K,,"After her abusive husband leaves, Monica asks her neighbor to look after her son while she's at work. Mildred's angry daughter's just moved out, so she's happy to have JJ.",Nick Cassavetes,Helen Caldwell|Nick Cassavetes,Gena Rowlands|Marisa Tomei|Gérard Depardieu
147,6.8|82K,"2,195|up|31","Samantha Caine lives in a small town with her daughter. Eight years ago she emerged, two months pregnant, from a nearby river with no memory of her past or who she is. However, she's getting closer to finding out about her past.",Renny Harlin,Shane Black,Geena Davis|Samuel L. Jackson|Yvonne Zima
148,6.8|64K,"4,725|down|141",A bridge engineer and an experienced old hunter begin a hunt for two lions after they start attacking local construction workers.,Stephen Hopkins,William Goldman,Michael Douglas|Val Kilmer|Tom Wilkinson
149,6.9|11K,,"In late 1800s England, Jude plans to go to the city and attend university but marries early and becomes a stonemason. When his wife leaves, he moves to the city, where he befriends his liberal cousin Sue.",Michael Winterbottom,Hossein Amini|Thomas Hardy,Christopher Eccleston|Kate Winslet|Liam Cunningham
150,7.2|85K,"2,595|up|45","A wannabe actor has a hard time moving on from a break-up, but he is lucky to have supportive friends.",Doug Liman,Jon Favreau,Vince Vaughn|Heather Graham|Jon Favreau
151,7.8|208K,786|down|229,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Mel Stuart,Roald Dahl|David Seltzer,Gene Wilder|Jack Albertson|Peter Ostrum
152,7.1|44K,,A nerdish store owner is revived out of cryostasis into a future world to fight an oppressive government.,Woody Allen,Woody Allen|Marshall Brickman,Woody Allen|Diane Keaton|John Beck
153,7.5|147K,"3,122|down|195","In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool a very proper barrister.",Charles Crichton|John Cleese,John Cleese|Charles Crichton,John Cleese|Jamie Lee Curtis|Kevin Kline
154,,,,,,
155,7.0|241K,"1,064|down|94","Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle.",Emile Ardolino,Eleanor Bergstein,Patrick Swayze|Jennifer Grey|Jerry Orbach
156,8.3|1M,494|down|28,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,Quentin Tarantino|Roger Avary,Harvey Keitel|Tim Roth|Michael Madsen
157,8.1|422K,"1,156|down|50","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,Oliver Stone,Charlie Sheen|Tom Berenger|Willem Dafoe
158,6.4|59K,"1,388|down|559","Two idiots try to pretend that their murdered employer is really alive, leading the hitman to attempt to track him down to finish him off.",Ted Kotcheff,Robert Klane,Andrew McCarthy|Jonathan Silverman|Catherine Mary Stewart
159,7.0|207K,799|down|60,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,Paul Verhoeven,Joe Eszterhas,Michael Douglas|Sharon Stone|George Dzundza
160,7.7|110K,"2,532|down|381",An examination of the machinations behind the scenes at a real estate office.,James Foley,David Mamet,Al Pacino|Jack Lemmon|Alec Baldwin
161,6.9|471K,83|down|7,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",Tony Scott,Jim Cash|Jack Epps Jr.|Ehud Yonay,Tom Cruise|Tim Robbins|Kelly McGillis
162,7.6|33K,"3,961|down|119","Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.",Mark Rydell,Ernest Thompson,Katharine Hepburn|Henry Fonda|Jane Fonda
163,7.0|28K,,"Inspector Jacque Clouseau (Peter Sellers) is put on the case when the Pink Panther diamond is stolen, with the Phantom's trademark glove the only clue.",Blake Edwards,Frank Waldman|Blake Edwards,Peter Sellers|Christopher Plummer|Catherine Schell
164,7.5|183K,"2,342|down|465",A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.,James Cameron,James Cameron,Ed Harris|Mary Elizabeth Mastrantonio|Michael Biehn
165,8.1|27K,,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.,Claude Berri,Marcel Pagnol|Claude Berri|Gérard Brach,Yves Montand|Gérard Depardieu|Daniel Auteuil
166,8.0|23K,,A beautiful but shy shepherdess plots vengeance on the men whose greedy conspiracy to acquire her father's land caused his death years earlier.,Claude Berri,Marcel Pagnol|Claude Berri|Gérard Brach,Yves Montand|Emmanuelle Béart|Daniel Auteuil
167,6.2|27K,,A sheltered young high-society woman joins the United States Army on a whim and finds herself in a trickier situation than she ever expected.,Howard Zieff,Nancy Meyers|Charles Shyer|Harvey Miller,Goldie Hawn|Eileen Brennan|Armand Assante
168,7.2|145,,"An documentarian from the BBC visits the set of Monty Python and the Holy Grail (1975). This documentary shouldn't be viewed as a making of the film, but rather a goof-off session that is simply there to conjure up laughter.",Tony Bilbow|Philip Jenkinson,Graham Chapman|John Cleese|Carol Cleveland,Tony Bilbow|Philip Jenkinson
169,8.3|55K,,"Gromit butts heads with a mysterious penguin lodger, who hatches a sinister scheme involving the ex-NASA Techno Trousers that have been modified by Wallace for walkies.",Nick Park,Nick Park|Bob Baker|Brian Sibley,Peter Sallis
170,8.5|267K,"1,885|down|64",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,Giuseppe Tornatore|Vanna Paoli,Philippe Noiret|Enzo Cannavale|Antonella Attili
171,7.5|87K,,Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,Marc Caro|Jean-Pierre Jeunet,Jean-Pierre Jeunet|Marc Caro|Gilles Adrien,Marie-Laure Dougnac|Dominique Pinon|Pascal Benezech
172,8.7|1.3M,442|up|250,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,Leigh Brackett|Lawrence Kasdan|George Lucas,Mark Hamill|Harrison Ford|Carrie Fisher
173,8.0|434K,145|up|171,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner,William Goldman,Cary Elwes|Mandy Patinkin|Robin Wright
174,8.4|982K,188|up|104,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",Steven Spielberg,Lawrence Kasdan|George Lucas|Philip Kaufman,Harrison Ford|Karen Allen|Paul Freeman
175,7.9|204K,"2,496|down|282",A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,Terry Gilliam,Terry Gilliam|Tom Stoppard|Charles McKeown,Jonathan Pryce|Kim Greist|Robert De Niro
